Characteristic,Characteristic_i,Optimum,variable,reclass_string,gcm,ssp,period,file
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,gfdl-esm4,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_gfdl-esm4_ssp126_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,gfdl-esm4,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_gfdl-esm4_ssp370_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,gfdl-esm4,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_gfdl-esm4_ssp585_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,ipsl-cm6a-lr,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,ipsl-cm6a-lr,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,ipsl-cm6a-lr,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,mpi-esm1-2-hr,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp126_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,mpi-esm1-2-hr,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,mpi-esm1-2-hr,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,mri-esm2-0,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mri-esm2-0_ssp126_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,mri-esm2-0,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mri-esm2-0_ssp370_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,mri-esm2-0,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mri-esm2-0_ssp585_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,ukesm1-0-ll,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ukesm1-0-ll_ssp126_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,ukesm1-0-ll,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ukesm1-0-ll_ssp370_V.2.1.tif
mean annual temperature,1,TRUE,bio1,(A>=23)*(A<32)*1 + (A>=32)*(A<34)*2 + (A>=34)*(A<35)*3 + (A>=35)*(A<999999)*4,ukesm1-0-ll,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ukesm1-0-ll_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,not-applicable,not-applicable,1981-2010,data-chelsa/CHELSA_bio1_1981-2010_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp126,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_gfdl-esm4_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp370,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_gfdl-esm4_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp585,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_gfdl-esm4_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ipsl-cm6a-lr,ssp126,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ipsl-cm6a-lr,ssp370,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_ipsl-cm6a-lr_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ipsl-cm6a-lr,ssp585,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_ipsl-cm6a-lr_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mpi-esm1-2-hr,ssp126,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_mpi-esm1-2-hr_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mpi-esm1-2-hr,ssp370,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_mpi-esm1-2-hr_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mpi-esm1-2-hr,ssp585,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_mpi-esm1-2-hr_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mri-esm2-0,ssp126,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_mri-esm2-0_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mri-esm2-0,ssp370,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_mri-esm2-0_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mri-esm2-0,ssp585,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_mri-esm2-0_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ukesm1-0-ll,ssp126,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_ukesm1-0-ll_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ukesm1-0-ll,ssp370,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_ukesm1-0-ll_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ukesm1-0-ll,ssp585,2011-2040,data-chelsa/CHELSA_bio1_2011-2040_ukesm1-0-ll_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp126,2041-2070,data-chelsa/CHELSA_bio1_2041-2070_gfdl-esm4_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp370,2041-2070,data-chelsa/CHELSA_bio1_2041-2070_gfdl-esm4_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp585,2041-2070,data-chelsa/CHELSA_bio1_2041-2070_gfdl-esm4_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ipsl-cm6a-lr,ssp126,2041-2070,data-chelsa/CHELSA_bio1_2041-2070_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ukesm1-0-ll,ssp126,2041-2070,data-chelsa/CHELSA_bio1_2041-2070_ukesm1-0-ll_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_gfdl-esm4_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_gfdl-esm4_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,gfdl-esm4,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_gfdl-esm4_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ipsl-cm6a-lr,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ipsl-cm6a-lr,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ipsl-cm6a-lr,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mpi-esm1-2-hr,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mpi-esm1-2-hr,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mpi-esm1-2-hr,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mri-esm2-0,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mri-esm2-0_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mri-esm2-0,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mri-esm2-0_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,mri-esm2-0,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_mri-esm2-0_ssp585_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ukesm1-0-ll,ssp126,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ukesm1-0-ll_ssp126_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ukesm1-0-ll,ssp370,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ukesm1-0-ll_ssp370_V.2.1.tif
mean annual temperature,2,FALSE,bio1,(A>=-999999)*(A<15)*4 + (A>=15)*(A<20)*3 + (A>=20)*(A<23)*2,ukesm1-0-ll,ssp585,2071-2100,data-chelsa/CHELSA_bio1_2071-2100_ukesm1-0-ll_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,not-applicable,not-applicable,1981-2010,data-chelsa/CHELSA_bio5_1981-2010_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp126,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_gfdl-esm4_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp370,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_gfdl-esm4_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp585,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_gfdl-esm4_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ipsl-cm6a-lr,ssp126,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ipsl-cm6a-lr,ssp370,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_ipsl-cm6a-lr_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ipsl-cm6a-lr,ssp585,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_ipsl-cm6a-lr_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mpi-esm1-2-hr,ssp126,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_mpi-esm1-2-hr_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mpi-esm1-2-hr,ssp370,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_mpi-esm1-2-hr_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mpi-esm1-2-hr,ssp585,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_mpi-esm1-2-hr_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mri-esm2-0,ssp126,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_mri-esm2-0_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mri-esm2-0,ssp370,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_mri-esm2-0_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mri-esm2-0,ssp585,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_mri-esm2-0_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ukesm1-0-ll,ssp126,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_ukesm1-0-ll_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ukesm1-0-ll,ssp370,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_ukesm1-0-ll_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ukesm1-0-ll,ssp585,2011-2040,data-chelsa/CHELSA_bio5_2011-2040_ukesm1-0-ll_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp126,2041-2070,data-chelsa/CHELSA_bio5_2041-2070_gfdl-esm4_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp370,2041-2070,data-chelsa/CHELSA_bio5_2041-2070_gfdl-esm4_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp585,2041-2070,data-chelsa/CHELSA_bio5_2041-2070_gfdl-esm4_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ipsl-cm6a-lr,ssp126,2041-2070,data-chelsa/CHELSA_bio5_2041-2070_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ukesm1-0-ll,ssp126,2041-2070,data-chelsa/CHELSA_bio5_2041-2070_ukesm1-0-ll_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp126,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_gfdl-esm4_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp370,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_gfdl-esm4_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,gfdl-esm4,ssp585,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_gfdl-esm4_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ipsl-cm6a-lr,ssp126,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ipsl-cm6a-lr,ssp370,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_ipsl-cm6a-lr_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ipsl-cm6a-lr,ssp585,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_ipsl-cm6a-lr_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mpi-esm1-2-hr,ssp126,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_mpi-esm1-2-hr_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mpi-esm1-2-hr,ssp370,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_mpi-esm1-2-hr_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mpi-esm1-2-hr,ssp585,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_mpi-esm1-2-hr_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mri-esm2-0,ssp126,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_mri-esm2-0_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mri-esm2-0,ssp370,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_mri-esm2-0_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,mri-esm2-0,ssp585,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_mri-esm2-0_ssp585_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ukesm1-0-ll,ssp126,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_ukesm1-0-ll_ssp126_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ukesm1-0-ll,ssp370,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_ukesm1-0-ll_ssp370_V.2.1.tif
mean max. temp of the warmest month,1,TRUE,bio5,(A>=-999999)*(A<40)*1 + (A>=40)*(A<999999)*4,ukesm1-0-ll,ssp585,2071-2100,data-chelsa/CHELSA_bio5_2071-2100_ukesm1-0-ll_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,not-applicable,not-applicable,1981-2010,data-chelsa/CHELSA_bio6_1981-2010_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp126,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_gfdl-esm4_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp370,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_gfdl-esm4_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,gfdl-esm4,ssp585,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_gfdl-esm4_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ipsl-cm6a-lr,ssp126,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_ipsl-cm6a-lr_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ipsl-cm6a-lr,ssp370,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_ipsl-cm6a-lr_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ipsl-cm6a-lr,ssp585,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_ipsl-cm6a-lr_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mpi-esm1-2-hr,ssp126,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_mpi-esm1-2-hr_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mpi-esm1-2-hr,ssp370,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_mpi-esm1-2-hr_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mpi-esm1-2-hr,ssp585,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_mpi-esm1-2-hr_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mri-esm2-0,ssp126,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_mri-esm2-0_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mri-esm2-0,ssp370,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_mri-esm2-0_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,mri-esm2-0,ssp585,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_mri-esm2-0_ssp585_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ukesm1-0-ll,ssp126,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_ukesm1-0-ll_ssp126_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ukesm1-0-ll,ssp370,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_ukesm1-0-ll_ssp370_V.2.1.tif
mean min. temp of the coldest month,1,TRUE,bio6,(A>=-999999)*(A<7.5)*4 + (A>=7.5)*(A<99999)*1,ukesm1-0-ll,ssp585,2011-2040,data-chelsa/CHELSA_bio6_2011-2040_ukesm1-0-ll_ssp585_V.2.1.tif
